Station,From Forest Hills (min),From Oak Grove (min)
Forest Hills,0.0,57.25149534704201
Green Street,3.3886782526204273,53.86047780583647
Stony Brook,6.256346487297948,50.99514888775965
Jackson Square,8.928500146758575,48.323034652695085
Roxbury Crossing,11.836873598412508,45.415647556588254
Ruggles,14.635156335595699,42.615286633935845
Massachusetts Avenue,17.08005942537014,40.17294036300443
Back Bay,20.240191150350174,37.01136558530811
Tufts Medical Center,23.570729295295923,33.68076816153529
Chinatown,25.321357346570483,31.930283869012907
Downtown Crossing,27.173619542725277,30.077867367314948
State,29.150888647954837,28.100609470475234
Haymarket,31.144494790609347,26.10700308214558
North Station,32.96337488906905,24.28811860678917
Community College,36.41474859243226,20.836744903425963
Sullivan Square,40.424458732393816,16.827032739876998
Assembly,43.42752538966449,13.824071873772972
Wellington,46.62384841498584,10.628700061677392
Malden Center,53.70364268360015,3.547819525312514
Oak Grove,57.25149295063179,0.0
